id,key,name,custom,orderable,navigable,searchable,clauseNames,type,type_id,schema_type,schema_custom,schema_customId,schema_system,schema_configuration
parent,parent,Parent,False,False,True,False,parent,,,,,0.0,,
customfield_10070,customfield_10070,Technology,True,True,True,True,"cf[10070], Technology, Technology[Dropdown]",PROJECT,10003,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10070.0,,
customfield_10071,customfield_10071,Task Type,True,True,True,True,"cf[10071], Task Type, Task Type[Dropdown]",PROJECT,10003,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10071.0,,
customfield_10072,customfield_10072,Technology,True,True,True,True,"cf[10072], Technology, Technology[Checkboxes]",PROJECT,10003,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10072.0,,
customfield_10073,customfield_10073,Delay Reason,True,True,True,True,"cf[10073], Delay Reason, Delay Reason[Short text]",PROJECT,10003,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10073.0,,
customfield_10074,customfield_10074,Technology,True,True,True,True,"cf[10074], Technology, Technology[Checkboxes]",PROJECT,10014,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10074.0,,
customfield_10075,customfield_10075,Completion Date,True,True,True,True,"cf[10075], Completion Date, Completion Date[Date]",PROJECT,10014,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10075.0,,
customfield_10076,customfield_10076,Expected Hours,True,True,True,True,"cf[10076], Expected Hours, Expected Hours[Number]",PROJECT,10014,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10076.0,,
customfield_10077,customfield_10077,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10077]",PROJECT,10014,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10077.0,,
customfield_10078,customfield_10078,Delay reason,True,True,True,True,"cf[10078], Delay reason, Delay reason[Short text]",PROJECT,10014,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10078.0,,
statusCategory,statusCategory,Status Category,False,False,True,True,statusCategory,,,,,0.0,,
customfield_10079,customfield_10079,Task Type,True,True,True,True,"cf[10079], Task Type, Task Type[Dropdown]",PROJECT,10014,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10079.0,,
resolution,resolution,Resolution,False,True,True,True,resolution,,,resolution,,0.0,resolution,
lastViewed,lastViewed,Last Viewed,False,False,True,False,lastViewed,,,datetime,,0.0,lastViewed,
customfield_10060,customfield_10060,Expected Hours,True,True,True,True,"cf[10060], Expected Hours, Expected Hours[Number]",PROJECT,10003,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10060.0,,
customfield_10061,customfield_10061,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10061]",PROJECT,10003,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10061.0,,
customfield_10062,customfield_10062,Completion Date,True,True,True,True,"cf[10062], Completion Date, Completion Date[Date]",PROJECT,10003,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10062.0,,
customfield_10063,customfield_10063,Start Date,True,True,True,True,"cf[10063], Start Date, Start Date[Date]",PROJECT,10011,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10063.0,,
customfield_10064,customfield_10064,Due Date,True,True,True,True,"cf[10064], Due Date, Due Date[Date]",PROJECT,10011,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10064.0,,
customfield_10065,customfield_10065,Expected Hours,True,True,True,True,"cf[10065], Expected Hours, Expected Hours[Number]",PROJECT,10011,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10065.0,,
customfield_10066,customfield_10066,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10066]",PROJECT,10011,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10066.0,,
customfield_10067,customfield_10067,Technology,True,True,True,True,"cf[10067], Technology, Technology[Dropdown]",PROJECT,10018,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10067.0,,
customfield_10068,customfield_10068,Completion Date,True,True,True,True,"cf[10068], Completion Date, Completion Date[Date]",PROJECT,10012,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10068.0,,
customfield_10069,customfield_10069,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10069]",PROJECT,10012,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10069.0,,
labels,labels,Labels,False,True,True,True,labels,,,array,,0.0,labels,
aggregatetimeoriginalestimate,aggregatetimeoriginalestimate,Σ Original Estimate,False,False,True,False,,,,number,,0.0,aggregatetimeoriginalestimate,
issuelinks,issuelinks,Linked Issues,False,True,True,True,issueLink,,,array,,0.0,issuelinks,
assignee,assignee,Assignee,False,True,True,True,assignee,,,user,,0.0,assignee,
components,components,Components,False,True,True,True,component,,,array,,0.0,components,
customfield_10170,customfield_10170,Due Date,True,True,True,True,"cf[10170], Due Date, Due Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10170.0,,
customfield_10171,customfield_10171,Completion Date,True,True,True,True,"cf[10171], Completion Date, Completion Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10171.0,,
customfield_10050,customfield_10050,Test plan,True,True,True,True,"cf[10050], Test plan, Test plan[Paragraph]",,,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,10050.0,,
customfield_10172,customfield_10172,Delay Reason,True,True,True,True,"cf[10172], Delay Reason, Delay Reason[Short text]",PROJECT,10038,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10172.0,,
customfield_10051,customfield_10051,Source,True,True,True,True,"cf[10051], Source, Source[Dropdown]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10051.0,,
customfield_10173,customfield_10173,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10173]",PROJECT,10038,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10173.0,,
customfield_10052,customfield_10052,Investigation reason,True,True,True,True,"cf[10052], Investigation reason, Investigation reason[Dropdown]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10052.0,,
customfield_10174,customfield_10174,Expected Hours,True,True,True,True,"cf[10174], Expected Hours, Expected Hours[Number]",PROJECT,10038,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10174.0,,
customfield_10053,customfield_10053,Root cause,True,True,True,True,"cf[10053], Root cause, Root cause[Paragraph]",,,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,10053.0,,
customfield_10054,customfield_10054,Workaround,True,True,True,True,"cf[10054], Workaround, Workaround[Paragraph]",,,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,10054.0,,
customfield_10055,customfield_10055,Time to resolution,True,True,True,True,"cf[10055], Time to resolution",,,sd-servicelevelagreement,com.atlassian.servicedesk:sd-sla-field,10055.0,,
customfield_10056,customfield_10056,Time to first response,True,True,True,True,"cf[10056], Time to first response",,,sd-servicelevelagreement,com.atlassian.servicedesk:sd-sla-field,10056.0,,
customfield_10057,customfield_10057,Time to close after resolution,True,True,True,True,"cf[10057], Time to close after resolution",,,sd-servicelevelagreement,com.atlassian.servicedesk:sd-sla-field,10057.0,,
customfield_10058,customfield_10058,Time to review normal change,True,True,True,True,"cf[10058], Time to review normal change",,,sd-servicelevelagreement,com.atlassian.servicedesk:sd-sla-field,10058.0,,
customfield_10059,customfield_10059,Category,True,True,True,True,"Category[Category], cf[10059]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:jwm-category,10059.0,,
customfield_10049,customfield_10049,Backout plan,True,True,True,True,"Backout plan, Backout plan[Paragraph], cf[10049]",,,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,10049.0,,
subtasks,subtasks,Sub-tasks,False,False,True,False,subtasks,,,array,,0.0,subtasks,
customfield_10160,customfield_10160,Due Date,True,True,True,True,"cf[10160], Due Date, Due Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10160.0,,
customfield_10040,customfield_10040,Approver groups,True,True,True,True,"Approver groups, Approver groups[Group Picker (multiple groups)], cf[10040]",,,array,com.atlassian.jira.plugin.system.customfieldtypes:multigrouppicker,10040.0,,
customfield_10161,customfield_10161,Completion Date,True,True,True,True,"cf[10161], Completion Date, Completion Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10161.0,,
customfield_10162,customfield_10162,Expected Hours,True,True,True,True,"cf[10162], Expected Hours, Expected Hours[Number]",PROJECT,10038,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10162.0,,
customfield_10041,customfield_10041,Pending reason,True,True,True,True,"cf[10041], Pending reason, Pending reason[Dropdown]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10041.0,,
customfield_10163,customfield_10163,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10163]",PROJECT,10038,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10163.0,,
customfield_10042,customfield_10042,Major incident,True,True,True,True,"cf[10042], Major incident",,,string,com.atlassian.jira.modules.servicemanagement.major-incident-entity:major-incident-entity-field-cftype,10042.0,,
customfield_10164,customfield_10164,Delay Reason,True,True,True,True,"cf[10164], Delay Reason, Delay Reason[Short text]",PROJECT,10038,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10164.0,,
customfield_10043,customfield_10043,Responders,True,True,True,True,,,,array,com.atlassian.jira.modules.servicemanagement.responders-entity:responders-entity-field-cftype,10043.0,,
reporter,reporter,Reporter,False,True,True,True,reporter,,,user,,0.0,reporter,
customfield_10044,customfield_10044,Severity,True,True,True,True,"cf[10044], Severity, Severity[Dropdown]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10044.0,,
customfield_10165,customfield_10165,Start Date,True,True,True,True,"cf[10165], Start Date, Start Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10165.0,,
customfield_10045,customfield_10045,Affected hardware,True,True,True,True,"Affected hardware, Affected hardware[Short text], cf[10045]",,,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10045.0,,
customfield_10166,customfield_10166,Due Date,True,True,True,True,"cf[10166], Due Date, Due Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10166.0,,
customfield_10167,customfield_10167,Original Estimate,True,True,True,True,"cf[10167], Original Estimate, Original Estimate[Time stamp]",PROJECT,10038,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10167.0,,
customfield_10046,customfield_10046,Planned start,True,True,True,True,"cf[10046], Planned start, Planned start[Time stamp]",,,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10046.0,,
customfield_10047,customfield_10047,Planned end,True,True,True,True,"cf[10047], Planned end, Planned end[Time stamp]",,,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10047.0,,
customfield_10168,customfield_10168,Time Tracking,True,True,True,True,"cf[10168], Time Tracking, Time Tracking[Time stamp]",PROJECT,10038,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10168.0,,
customfield_10048,customfield_10048,Implementation plan,True,True,True,True,"cf[10048], Implementation plan, Implementation plan[Paragraph]",,,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,10048.0,,
customfield_10169,customfield_10169,Start Date,True,True,True,True,"cf[10169], Start Date, Start Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10169.0,,
customfield_10159,customfield_10159,Start Date,True,True,True,True,"cf[10159], Start Date, Start Date[Date]",PROJECT,10038,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10159.0,,
customfield_10038,customfield_10038,Urgency,True,True,True,True,"cf[10038], Urgency, Urgency[Dropdown]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10038.0,,
customfield_10039,customfield_10039,Affected services,True,True,True,True,"Affected services, cf[10039]",,,array,com.atlassian.jira.plugins.service-entity:service-entity-field-cftype,10039.0,,
progress,progress,Progress,False,False,True,False,progress,,,progress,,0.0,progress,
votes,votes,Votes,False,False,True,False,votes,,,votes,,0.0,votes,
worklog,worklog,Log Work,False,True,False,True,,,,array,,0.0,worklog,
issuetype,issuetype,Issue Type,False,True,True,True,"issuetype, type",,,issuetype,,0.0,issuetype,
customfield_10151,customfield_10151,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10151]",PROJECT,10019,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10151.0,,
customfield_10030,customfield_10030,Total forms,True,True,True,True,"cf[10030], Total forms",,,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-total-field-cftype,10030.0,,
customfield_10152,customfield_10152,Estimated Hours,True,True,True,True,"cf[10152], Estimated Hours, Estimated Hours[Number]",PROJECT,10019,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10152.0,,
customfield_10031,customfield_10031,Work category,True,True,True,True,"cf[10031], Work category",,,string,com.atlassian.jira.plugins.work-category-field:work-category-field-cftype,10031.0,,
project,project,Project,False,False,True,True,project,,,project,,0.0,project,
customfield_10032,customfield_10032,Approvals,True,True,True,True,"Approvals, Approvals[Approvals], cf[10032]",,,sd-approvals,com.atlassian.servicedesk.approvals-plugin:sd-approvals,10032.0,,
customfield_10153,com.atlassian.atlas.jira__project-key,Project overview key,True,True,True,True,"cf[10153], Project overview key",,,string,read-only-string-issue-field,10153.0,,
customfield_10154,com.atlassian.atlas.jira__project-status,Project overview status,True,True,True,True,"cf[10154], Project overview status",,,string,read-only-string-issue-field,10154.0,,
customfield_10033,customfield_10033,Request participants,True,True,True,True,"cf[10033], Request participants",,,array,com.atlassian.servicedesk:sd-request-participants,10033.0,,
customfield_10155,customfield_10155,Original estimate,True,True,True,True,"cf[10155], Original estimate, Original estimate[Time stamp]",PROJECT,10038,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10155.0,,
customfield_10034,customfield_10034,Satisfaction,True,True,True,True,"cf[10034], Satisfaction",,,sd-feedback,com.atlassian.servicedesk:sd-request-feedback,10034.0,,
customfield_10035,customfield_10035,Satisfaction date,True,True,True,True,"cf[10035], Satisfaction date",,,datetime,com.atlassian.servicedesk:sd-request-feedback-date,10035.0,,
customfield_10156,customfield_10156,Time Tracking,True,True,True,True,"cf[10156], Time Tracking, Time Tracking[Time stamp]",PROJECT,10038,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10156.0,,
customfield_10036,customfield_10036,Story Points,True,True,True,True,"cf[10036], Story Points, Story Points[Number]",,,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10036.0,,
customfield_10157,customfield_10157,Time Tracking,True,True,True,True,"cf[10157], Time Tracking, Time Tracking[Time stamp]",PROJECT,10038,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10157.0,,
customfield_10037,customfield_10037,Request language,True,True,True,True,"cf[10037], Request language",,,sd-request-lang,com.atlassian.servicedesk.servicedesk-lingo-integration-plugin:sd-request-language,10037.0,,
customfield_10158,customfield_10158,Urgency,True,True,True,True,"cf[10158], Urgency, Urgency[Dropdown]",PROJECT,10038,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10158.0,,
customfield_10148,customfield_10148,Estimated Hours,True,True,True,True,"cf[10148], Estimated Hours, Estimated Hours[Number]",PROJECT,10023,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10148.0,,
customfield_10027,customfield_10027,Locked forms,True,True,True,True,"cf[10027], Locked forms",,,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-locked-field-cftype,10027.0,,
customfield_10028,customfield_10028,Open forms,True,True,True,True,"cf[10028], Open forms",,,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-open-field-cftype,10028.0,,
customfield_10029,customfield_10029,Submitted forms,True,True,True,True,"cf[10029], Submitted forms",,,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-submitted-field-cftype,10029.0,,
resolutiondate,resolutiondate,Resolved,False,False,True,True,"resolutiondate, resolved",,,datetime,,0.0,resolutiondate,
watches,watches,Watchers,False,False,True,False,watchers,,,watches,,0.0,watches,
customfield_10140,customfield_10140,Vulnerability,True,True,True,True,"cf[10140], Vulnerability",,,any,com.atlassian.jira.plugins.jira-development-integration-plugin:vulnerabilitycf,10140.0,,
customfield_10141,customfield_10141,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10141]",PROJECT,10023,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10141.0,,
customfield_10020,customfield_10020,Sprint,True,True,True,True,"cf[10020], Sprint",,,array,com.pyxis.greenhopper.jira:gh-sprint,10020.0,,
